"","Site","Year","Species","spp_trt","Phytometer","Neighbour","Treatment","light","carbon","WUE"
"1","PTY1",2016,"Phragmites","Phragmites_Typha_Competition","Phragmites_Typha","Typha","Competition","1500",17.7,3.06
"2","PTY1CU",2016,"Phragmites","Phragmites_Typha_No competition","Phragmites_Typha","Typha","No competition","1500",22.5,3.57
"3","PTY2",2016,"Phragmites","Phragmites_Typha_Competition","Phragmites_Typha","Typha","Competition","1500",16.8,3.3
"4","PTY2CU",2016,"Phragmites","Phragmites_Typha_No competition","Phragmites_Typha","Typha","No competition","1500",25.8,3.79
"5","PTY3",2016,"Phragmites","Phragmites_Typha_Competition","Phragmites_Typha","Typha","Competition","1500",15.1,3.29
"6","PTY3CU",2016,"Phragmites","Phragmites_Typha_No competition","Phragmites_Typha","Typha","No competition","1500",22,3.31
"7","PTY4",2016,"Phragmites","Phragmites_Typha_Competition","Phragmites_Typha","Typha","Competition","1500",23.5,4.38
"8","PTY4CU",2016,"Phragmites","Phragmites_Typha_No competition","Phragmites_Typha","Typha","No competition","1500",23.2,4.11
"9","PTY5",2016,"Phragmites","Phragmites_Typha_Competition","Phragmites_Typha","Typha","Competition","1500",18.2,3.23
"10","PTY5CU",2016,"Phragmites","Phragmites_Typha_No competition","Phragmites_Typha","Typha","No competition","1500",5.7,2.91
"11","PTY6",2016,"Phragmites","Phragmites_Typha_Competition","Phragmites_Typha","Typha","Competition","1500",22.1,3
"12","PTY6CU",2016,"Phragmites","Phragmites_Typha_No competition","Phragmites_Typha","Typha","No competition","1500",19.6,3.18
"13","TYP4",2016,"Typha","Typha_Phragmites_Competition","Typha_Phragmites","Phragmites","Competition","1500",15.9,2.6
"14","TYP4CU",2016,"Typha","Typha_Phragmites_No competition","Typha_Phragmites","Phragmites","No competition","1500",16.1,2.17
"15","TYP5",2016,"Typha","Typha_Phragmites_Competition","Typha_Phragmites","Phragmites","Competition","1500",19.5,2.58
"16","TYP5CU",2016,"Typha","Typha_Phragmites_No competition","Typha_Phragmites","Phragmites","No competition","1500",17.4,2.17
"17","TYP6",2016,"Typha","Typha_Phragmites_Competition","Typha_Phragmites","Phragmites","Competition","1500",16.7,2.39
"18","TYP6CU",2016,"Typha","Typha_Phragmites_No competition","Typha_Phragmites","Phragmites","No competition","1500",24.5,3.04
"19","PCC1",2016,"Phragmites","Phragmites_Calamagrostis_Competition","Phragmites_Calamagrostis","Calamagrostis","Competition","1500",15.7,4.01
"20","PCC1CU",2016,"Phragmites","Phragmites_Calamagrostis_No competition","Phragmites_Calamagrostis","Calamagrostis","No competition","1500",25.9,3.83
"21","PCC2",2016,"Phragmites","Phragmites_Calamagrostis_Competition","Phragmites_Calamagrostis","Calamagrostis","Competition","1500",15.1,2.81
"22","PCC2CU",2016,"Phragmites","Phragmites_Calamagrostis_No competition","Phragmites_Calamagrostis","Calamagrostis","No competition","1500",23.6,3.12
"23","PCC3",2016,"Phragmites","Phragmites_Calamagrostis_Competition","Phragmites_Calamagrostis","Calamagrostis","Competition","1500",17.3,2.82
"24","PCC3CU",2016,"Phragmites","Phragmites_Calamagrostis_No competition","Phragmites_Calamagrostis","Calamagrostis","No competition","1500",19,4.25
"25","PCC4CU",2016,"Phragmites","Phragmites_Calamagrostis_No competition","Phragmites_Calamagrostis","Calamagrostis","No competition","1500",20.4,3.21
"26","TYP1",2016,"Typha","Typha_Phragmites_Competition","Typha_Phragmites","Phragmites","Competition","1500",21.5,2.83
"27","TYP1CU",2016,"Typha","Typha_Phragmites_No competition","Typha_Phragmites","Phragmites","No competition","1500",28.1,3.12
"28","TYP2",2016,"Typha","Typha_Phragmites_Competition","Typha_Phragmites","Phragmites","Competition","1500",19.2,2.69
"29","TYP2CU",2016,"Typha","Typha_Phragmites_No competition","Typha_Phragmites","Phragmites","No competition","1500",27,3.83
"30","TYP3",2016,"Typha","Typha_Phragmites_Competition","Typha_Phragmites","Phragmites","Competition","1500",13.8,2.92
"31","TYP3CU",2016,"Typha","Typha_Phragmites_No competition","Typha_Phragmites","Phragmites","No competition","1500",20.1,3.08
"32","PCA1",2016,"Phragmites","Phragmites_Carex_Competition","Phragmites_Carex","Carex","Competition","1500",11.9,2.44
"33","PCA1CU",2016,"Phragmites","Phragmites_Carex_No competition","Phragmites_Carex","Carex","No competition","1500",23.9,3.17
"34","PCA2",2016,"Phragmites","Phragmites_Carex_Competition","Phragmites_Carex","Carex","Competition","1500",22.5,3.03
"35","PCA2CU",2016,"Phragmites","Phragmites_Carex_No competition","Phragmites_Carex","Carex","No competition","1500",23.5,3.13
"36","PCA3",2016,"Phragmites","Phragmites_Carex_Competition","Phragmites_Carex","Carex","Competition","1500",17.1,2.71
"37","PCA3CU",2016,"Phragmites","Phragmites_Carex_No competition","Phragmites_Carex","Carex","No competition","1500",22.2,3.34
"38","PCA4",2016,"Phragmites","Phragmites_Carex_Competition","Phragmites_Carex","Carex","Competition","1500",15,2.88
"39","PCA4CU",2016,"Phragmites","Phragmites_Carex_No competition","Phragmites_Carex","Carex","No competition","1500",25.4,3.35
"40","PCA5",2016,"Phragmites","Phragmites_Carex_Competition","Phragmites_Carex","Carex","Competition","1500",20.4,2.72
"41","PCA6",2016,"Phragmites","Phragmites_Carex_Competition","Phragmites_Carex","Carex","Competition","1500",20.9,2.8
"42","PCA6CU",2016,"Phragmites","Phragmites_Carex_No competition","Phragmites_Carex","Carex","No competition","1500",23.6,3.04
"43","PCC4",2016,"Phragmites","Phragmites_Calamagrostis_Competition","Phragmites_Calamagrostis","Calamagrostis","Competition","1500",23.2,3.21
"44","PCC5",2016,"Phragmites","Phragmites_Calamagrostis_Competition","Phragmites_Calamagrostis","Calamagrostis","Competition","1500",14.2,2.68
"45","PCC5CU",2016,"Phragmites","Phragmites_Calamagrostis_No competition","Phragmites_Calamagrostis","Calamagrostis","No competition","1500",19,2.61
"46","PCC6",2016,"Phragmites","Phragmites_Calamagrostis_Competition","Phragmites_Calamagrostis","Calamagrostis","Competition","1500",18.4,2.83
"47","PCC6CU",2016,"Phragmites","Phragmites_Calamagrostis_No competition","Phragmites_Calamagrostis","Calamagrostis","No competition","1500",17.7,2.91
"48","CAP12",2016,"Carex","Carex_Phragmites_Competition","Carex_Phragmites","Phragmites","Competition","1500",4.1,1.36
"49","CCP4",2016,"Calamagrostis","Calamagrostis_Phragmites_Competition","Calamagrostis_Phragmites","Phragmites","Competition","1500",8,1.95
"50","CCP5",2016,"Calamagrostis","Calamagrostis_Phragmites_Competition","Calamagrostis_Phragmites","Phragmites","Competition","1500",7.4,1.72
