Site,Year,Species,Phytometer,Neighbour,Treatment,Light intensity,Carbon Assimilation,WUE
PTY1,2016,Phragmites,Phragmites_Typha,Typha,Competition,1500,17.7,3.06
PTY1,2016,Phragmites,Phragmites_Typha,Typha,Competition,1000,15.6,2.77
PTY1,2016,Phragmites,Phragmites_Typha,Typha,Competition,500,11.6,2.16
PTY1,2016,Phragmites,Phragmites_Typha,Typha,Competition,200,5.2,1.17
PTY1,2016,Phragmites,Phragmites_Typha,Typha,Competition,100,2.2,0.59
PTY1,2016,Phragmites,Phragmites_Typha,Typha,Competition,50,0.3,0.1
PTY1,2016,Phragmites,Phragmites_Typha,Typha,Competition,0,-0.8,-0.3
PTY1CU,2016,Phragmites,Phragmites_Typha,Typha,No competition,1500,22.5,3.57
PTY1CU,2016,Phragmites,Phragmites_Typha,Typha,No competition,1000,19.1,3.13
PTY1CU,2016,Phragmites,Phragmites_Typha,Typha,No competition,500,13.4,2.36
PTY1CU,2016,Phragmites,Phragmites_Typha,Typha,No competition,200,5.9,1.14
PTY1CU,2016,Phragmites,Phragmites_Typha,Typha,No competition,100,2.6,0.6
PTY1CU,2016,Phragmites,Phragmites_Typha,Typha,No competition,50,0.9,0.27
PTY1CU,2016,Phragmites,Phragmites_Typha,Typha,No competition,0,-0.4,-0.15
PTY2,2016,Phragmites,Phragmites_Typha,Typha,Competition,1500,16.8,3.3
PTY2,2016,Phragmites,Phragmites_Typha,Typha,Competition,1000,14.5,3.16
PTY2,2016,Phragmites,Phragmites_Typha,Typha,Competition,500,11,2.89
PTY2,2016,Phragmites,Phragmites_Typha,Typha,Competition,200,5.6,1.55
PTY2,2016,Phragmites,Phragmites_Typha,Typha,Competition,100,2,0.68
PTY2,2016,Phragmites,Phragmites_Typha,Typha,Competition,50,-0.1,-0.02
PTY2,2016,Phragmites,Phragmites_Typha,Typha,Competition,0,-1.5,-0.42
PTY2CU,2016,Phragmites,Phragmites_Typha,Typha,No competition,1500,25.8,3.79
