Site,Year,Species,Phytometer,Neighbour,Treatment,Date,1500,1000,500,200,100,50,0
CCP1CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,14.5,13,10.8,6.6,3.6,1.6,0.2
CCP2CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,18.4,16.8,13.1,5.7,3.5,1.5,-0.1
CCP3CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,15.6,14.4,11.6,5.9,3,1.2,-0.2
CCP4CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,14.8,13.7,11.6,6.3,3.1,1.6,0
CCP5CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,5.5,5.4,5.6,4.2,2,0.5,-0.5
CCP6CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,16.5,15.6,12.1,5.9,2.7,0.9,-0.4
CCP7CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,15.7,14.8,12.2,6.5,3.7,0.7,-0.9
CCP8CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,16.2,14.1,8.9,4.3,2.2,0.1,-1.1
CCP9CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,13.7,13.3,11.4,5.7,2.2,0.3,-0.9
CCP10CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,10.9,10.7,9.8,5.4,2.6,1.7,-0.5
CCP11CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,12.9,12.4,10.4,5.7,2.7,1,-0.3
CCP12CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,09-Jul-17,14.3,13.5,11,6.1,2.7,1.2,0
CCP1,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,5.5,5.5,5,2.8,1.5,0.8,0.4
CCP2,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,9.8,9,7.6,4.4,1.9,0.6,-0.1
CCP3,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,12.5,11.6,10,5.7,2.8,1.3,0
CCP4,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,11.6,10.1,8.9,5.6,2.7,1,-0.2
CCP5,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,11.4,10.8,9,5.5,2.4,1.1,-0.6
CCP6,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,7.8,7.8,7.4,5.1,2.6,1.2,-0.1
CCP7,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,8.1,7.3,5.6,4,1.9,0.6,-0.3
CCP8,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,5.5,5.4,5.1,3.8,2.3,0.7,-0.1
CCP9,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,10.7,9.5,7.9,4.8,2.7,0.7,-0.4
CCP10,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,9.4,8.8,7.2,3.2,1.1,0,-0.9
CCP11,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,9.1,8.5,7.5,4,1.8,0.5,-0.6
CCP12,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,09-Jul-17,5.1,4.5,3.8,2.8,1.3,-0.1,-0.9
CAP1CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,14.5,13.3,9.6,4.5,0.9,-0.8,-2.1
CAP2CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,12,11.6,9.4,4.1,0.8,-0.6,-1.7
CAP3CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,10.9,10.1,7.9,4.9,1.3,-0.3,-1.3
CAP4CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,15.3,13.2,9.7,4.4,1,-0.5,-1.5
CAP5CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,17,16.5,11.5,5.1,1.5,-0.3,-1.3
CAP6CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,13.7,12.2,9.4,4.8,1.4,0,-1
CAP7CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,13.8,12.7,9.5,4.3,0.9,-0.8,-0.6
