,Site,Year,Species,Phytometer,Neighbour,Treatment,light,carbon,WUE
1,PTY1,2016,Phragmites,Phragmites_Typha,Typha,Competition,1500,17.7,3.06
2,PTY1,2016,Phragmites,Phragmites_Typha,Typha,Competition,1000,15.6,2.77
3,PTY1,2016,Phragmites,Phragmites_Typha,Typha,Competition,500,11.6,2.16
4,PTY1,2016,Phragmites,Phragmites_Typha,Typha,Competition,200,5.2,1.17
5,PTY1,2016,Phragmites,Phragmites_Typha,Typha,Competition,100,2.2,0.59
6,PTY1,2016,Phragmites,Phragmites_Typha,Typha,Competition,50,0.3,0.1
7,PTY1,2016,Phragmites,Phragmites_Typha,Typha,Competition,0,-0.8,-0.3
8,PTY1CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,1500,22.5,3.57
9,PTY1CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,1000,19.1,3.13
10,PTY1CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,500,13.4,2.36
11,PTY1CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,200,5.9,1.14
12,PTY1CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,100,2.6,0.6
13,PTY1CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,50,0.9,0.27
14,PTY1CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,0,-0.4,-0.15
15,PTY2,2016,Phragmites,Phragmites_Typha,Typha,Competition,1500,16.8,3.3
16,PTY2,2016,Phragmites,Phragmites_Typha,Typha,Competition,1000,14.5,3.16
17,PTY2,2016,Phragmites,Phragmites_Typha,Typha,Competition,500,11,2.89
18,PTY2,2016,Phragmites,Phragmites_Typha,Typha,Competition,200,5.6,1.55
19,PTY2,2016,Phragmites,Phragmites_Typha,Typha,Competition,100,2,0.68
20,PTY2,2016,Phragmites,Phragmites_Typha,Typha,Competition,50,-0.1,-0.02
21,PTY2,2016,Phragmites,Phragmites_Typha,Typha,Competition,0,-1.5,-0.42
22,PTY2CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,1500,25.8,3.79
23,PTY2CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,1000,22.3,3.36
24,PTY2CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,500,14.8,2.4
25,PTY2CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,200,5.9,1.05
26,PTY2CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,100,2.1,0.45
27,PTY2CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,50,0.2,0.05
28,PTY2CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,0,-1.4,-0.59
29,PTY3,2016,Phragmites,Phragmites_Typha,Typha,Competition,1500,15.1,3.29
30,PTY3,2016,Phragmites,Phragmites_Typha,Typha,Competition,1000,14,3.55
31,PTY3,2016,Phragmites,Phragmites_Typha,Typha,Competition,500,12.1,2.96
32,PTY3,2016,Phragmites,Phragmites_Typha,Typha,Competition,200,7,1.7
33,PTY3,2016,Phragmites,Phragmites_Typha,Typha,Competition,100,3.9,1.21
34,PTY3,2016,Phragmites,Phragmites_Typha,Typha,Competition,50,2.2,0.87
35,PTY3,2016,Phragmites,Phragmites_Typha,Typha,Competition,0,1,0.43
36,PTY3CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,1500,22,3.31
37,PTY3CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,1000,19.1,3.15
38,PTY3CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,500,12.9,2.36
39,PTY3CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,200,5.2,1.09
40,PTY3CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,100,2.3,0.88
41,PTY3CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,50,0.1,0.07
42,PTY3CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,0,-1,-0.89
43,PTY4,2016,Phragmites,Phragmites_Typha,Typha,Competition,1500,23.5,4.38
44,PTY4,2016,Phragmites,Phragmites_Typha,Typha,Competition,1000,20.8,4.15
45,PTY4,2016,Phragmites,Phragmites_Typha,Typha,Competition,500,15.2,3.16
46,PTY4,2016,Phragmites,Phragmites_Typha,Typha,Competition,200,6.7,1.28
47,PTY4,2016,Phragmites,Phragmites_Typha,Typha,Competition,100,2.6,0.62
48,PTY4,2016,Phragmites,Phragmites_Typha,Typha,Competition,50,0.2,0.05
49,PTY4,2016,Phragmites,Phragmites_Typha,Typha,Competition,0,-0.7,-0.23
50,PTY4CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,1500,23.2,4.11
51,PTY4CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,1000,20.1,4.01
52,PTY4CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,500,13.6,2.82
53,PTY4CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,200,5.7,1.33
54,PTY4CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,100,1.9,0.48
55,PTY4CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,50,0.4,0.14
56,PTY4CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,0,-1,-0.38
57,PTY5,2016,Phragmites,Phragmites_Typha,Typha,Competition,1500,18.2,3.23
58,PTY5,2016,Phragmites,Phragmites_Typha,Typha,Competition,1000,16.8,3.27
59,PTY5,2016,Phragmites,Phragmites_Typha,Typha,Competition,500,14.2,2.89
60,PTY5,2016,Phragmites,Phragmites_Typha,Typha,Competition,200,9.9,2.35
61,PTY5,2016,Phragmites,Phragmites_Typha,Typha,Competition,100,6.1,1.73
62,PTY5,2016,Phragmites,Phragmites_Typha,Typha,Competition,50,5.8,1.87
63,PTY5,2016,Phragmites,Phragmites_Typha,Typha,Competition,0,4.4,1.67
64,PTY5CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,1500,5.7,2.91
65,PTY5CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,1000,5.1,2.73
66,PTY5CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,500,3.6,2.35
67,PTY5CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,200,2.3,1.64
68,PTY5CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,100,1.1,1.15
69,PTY5CU,2016,Phragmites,Phragmites_Typha,Typha,Without competition,50,0.5,0.54
