Site ID,Species,Neighbours,Competition,18-May-16,03-Jun-16,12-Jun-16,22-Jun-16,02-Jul-16,12-Jul-16
PCC1CU,Phragmites,Calamagrostis,No,63,160,183,216,230,248
PCC2CU,Phragmites,Calamagrostis,No,41,98,110,126,129,145
PCC1,Phragmites,Calamagrostis,Yes,60,128,155,173,183,188
PCC2,Phragmites,Calamagrostis,Yes,42,100,124,141,149,160
PCC3CU,Phragmites,Calamagrostis,No,52,127,145,166,180,194
CAP1CU,Carex,Phragmites,No,61,92,91,100,101,98
CAP1,Carex,Phragmites,Yes,61,92,97,97,97,97
CAP2CU,Carex,Phragmites,No,71,80,86,91,89,90
CAP2,Carex,Phragmites,Yes,70,91,93,95,93,93
CAP3CU,Carex,Phragmites,No,70,106,107,103,112,110
CAP3,Carex,Phragmites,Yes,70,99,105,105,104,103
CAP4CU,Carex,Phragmites,No,64,105,114,111,111,
CAP4,Carex,Phragmites,Yes,61,105,112,113,113,114
CAP5CU,Carex,Phragmites,No,83,90,94,94,95,90
CAP5,Carex,Phragmites,Yes,82,100,104,106,107,100
PCC3,Phragmites,Calamagrostis,Yes,52,138,153,167,174,192
PCC4CU,Phragmites,Calamagrostis,No,75,190,222,243,261,279
PCC4,Phragmites,Calamagrostis,Yes,78,191,214,245,258,272
PCC5CU,Phragmites,Calamagrostis,No,63,174,202,230,249,264
PCC5,Phragmites,Calamagrostis,Yes,64,160,185,212,231,243
PCC6CU,Phragmites,Calamagrostis,No,69,122,132,146,156,166
PCC6,Phragmites,Calamagrostis,Yes,65,159,178,209,220,223
CCP1CU,Calamagrositis,Phragmites,No,66,106,114,120,123,124
CCP1,Calamagrositis,Phragmites,Yes,67,93,98,109,114,114
CCP2CU,Calamagrositis,Phragmites,No,65,83,90,,,
CCP2,Calamagrositis,Phragmites,Yes,79,113,119,131,134,137
CCP3CU,Calamagrositis,Phragmites,No,67,108,129,139,,
CCP3,Calamagrositis,Phragmites,Yes,61,89,97,101,101,103
CCP4CU,Calamagrositis,Phragmites,No,58,77,82,85,79,
CAP6CU,Carex,Phragmites,No,59,85,96,108,108,112
CAP6,Carex,Phragmites,Yes,63,105,100,100,101,100
CAP7CU,Carex,Phragmites,No,62,78,102,111,106,109
CAP7,Carex,Phragmites,Yes,63,103,114,120,119,119
CAP8CU,Carex,Phragmites,No,53,83,82,89,85,84
