"","Site.ID","Species","Neighbours","Competition","date","height"
"1","PCC1CU","Phragmites","Calamagrostis","No","180516",63
"2","PCC2CU","Phragmites","Calamagrostis","No","180516",41
"3","PCC1","Phragmites","Calamagrostis","Yes","180516",60
"4","PCC2","Phragmites","Calamagrostis","Yes","180516",42
"5","PCC3CU","Phragmites","Calamagrostis","No","180516",52
"6","CAP1CU","Carex","Phragmites","No","180516",61
"7","CAP1","Carex","Phragmites","Yes","180516",61
"8","CAP2CU","Carex","Phragmites","No","180516",71
"9","CAP2","Carex","Phragmites","Yes","180516",70
"10","CAP3CU","Carex","Phragmites","No","180516",70
"11","CAP3","Carex","Phragmites","Yes","180516",70
"12","CAP4","Carex","Phragmites","Yes","180516",61
"13","CAP5CU","Carex","Phragmites","No","180516",83
"14","CAP5","Carex","Phragmites","Yes","180516",82
"15","PCC3","Phragmites","Calamagrostis","Yes","180516",52
"16","PCC4CU","Phragmites","Calamagrostis","No","180516",75
"17","PCC4","Phragmites","Calamagrostis","Yes","180516",78
"18","PCC5CU","Phragmites","Calamagrostis","No","180516",63
"19","PCC5","Phragmites","Calamagrostis","Yes","180516",64
"20","PCC6CU","Phragmites","Calamagrostis","No","180516",69
"21","PCC6","Phragmites","Calamagrostis","Yes","180516",65
"22","CCP1CU","Calamagrositis","Phragmites","No","180516",66
"23","CCP1","Calamagrositis","Phragmites","Yes","180516",67
"24","CCP2","Calamagrositis","Phragmites","Yes","180516",79
"25","CCP3","Calamagrositis","Phragmites","Yes","180516",61
"26","CAP6CU","Carex","Phragmites","No","180516",59
"27","CAP6","Carex","Phragmites","Yes","180516",63
"28","CAP7CU","Carex","Phragmites","No","180516",62
"29","CAP7","Carex","Phragmites","Yes","180516",63
"30","CAP8CU","Carex","Phragmites","No","180516",53
"31","CAP8","Carex","Phragmites","Yes","180516",51
"32","CAP9CU","Carex","Phragmites","No","180516",71
"33","CAP9","Carex","Phragmites","Yes","180516",73
"34","CAP10CU","Carex","Phragmites","No","180516",80
"35","CAP10","Carex","Phragmites","Yes","180516",79
"36","PCA1CU","Phragmites","Carex","No","180516",86
"37","PCA1","Phragmites","Carex","Yes","180516",85
"38","PCA2","Phragmites","Carex","Yes","180516",80
"39","PCA3CU","Phragmites","Carex","No","180516",69
"40","PCA3","Phragmites","Carex","Yes","180516",68
"41","PCA4CU","Phragmites","Carex","No","180516",83
"42","PCA4","Phragmites","Carex","Yes","180516",85
"43","PCA5","Phragmites","Carex","Yes","180516",84
"44","PCA6CU","Phragmites","Carex","No","180516",81
"45","PCA6","Phragmites","Carex","Yes","180516",83
"46","CAP11CU","Carex","Phragmites","No","180516",87
"47","CAP11","Carex","Phragmites","Yes","180516",84
"48","CAP12CU","Carex","Phragmites","No","180516",88
"49","CAP12","Carex","Phragmites","Yes","180516",89
"50","CCP4","Calamagrositis","Phragmites","Yes","180516",86
"51","CCP5","Calamagrositis","Phragmites","Yes","180516",83
"52","CCP6CU","Calamagrositis","Phragmites","No","180516",55
"53","CCP6","Calamagrositis","Phragmites","Yes","180516",57
"54","CCP7CU","Calamagrositis","Phragmites","No","180516",55
"55","CCP7","Calamagrositis","Phragmites","Yes","180516",56
"56","CCP8CU","Calamagrositis","Phragmites","No","180516",45
"57","CCP8","Calamagrositis","Phragmites","Yes","180516",43
"58","CCP9CU","Calamagrositis","Phragmites","No","180516",62
"59","CCP9","Calamagrositis","Phragmites","Yes","180516",63
"60","CCP10CU","Calamagrositis","Phragmites","No","180516",57
"61","CCP10","Calamagrositis","Phragmites","Yes","180516",58
"62","CCP11CU","Calamagrositis","Phragmites","No","180516",55
"63","CCP11","Calamagrositis","Phragmites","Yes","180516",53
"64","TYP1CU","Typha","Phragmites","No","180516",85
"65","TYP1","Typha","Phragmites","Yes","180516",86
"66","TYP2CU","Typha","Phragmites","No","180516",78
"67","TYP2","Typha","Phragmites","Yes","180516",82
"68","TYP3CU","Typha","Phragmites","No","180516",88
"69","TYP3","Typha","Phragmites","Yes","180516",85
"70","TYP4CU","Typha","Phragmites","No","180516",92
"71","TYP4","Typha","Phragmites","Yes","180516",94
"72","TYP5CU","Typha","Phragmites","No","180516",98
"73","TYP5","Typha","Phragmites","Yes","180516",99
"74","TYP6CU","Typha","Phragmites","No","180516",98
"75","TYP6","Typha","Phragmites","Yes","180516",97
"76","PTY1CU","Phragmites","Typha","No","180516",81
"77","PTY1","Phragmites","Typha","Yes","180516",83
"78","PTY2CU","Phragmites","Typha","No","180516",93
"79","PTY2","Phragmites","Typha","Yes","180516",92
"80","PTY3","Phragmites","Typha","Yes","180516",90
"81","PTY4CU","Phragmites","Typha","No","180516",98
"82","PTY4","Phragmites","Typha","Yes","180516",95
"83","PTY5CU","Phragmites","Typha","No","180516",87
"84","PTY5","Phragmites","Typha","Yes","180516",99
"85","PTY6CU","Phragmites","Typha","No","180516",112
"86","PTY6","Phragmites","Typha","Yes","180516",117
"87","PCC1CU","Phragmites","Calamagrostis","No","030616",160
"88","PCC2CU","Phragmites","Calamagrostis","No","030616",98
"89","PCC1","Phragmites","Calamagrostis","Yes","030616",128
"90","PCC2","Phragmites","Calamagrostis","Yes","030616",100
"91","PCC3CU","Phragmites","Calamagrostis","No","030616",127
"92","CAP1CU","Carex","Phragmites","No","030616",92
"93","CAP1","Carex","Phragmites","Yes","030616",92
"94","CAP2CU","Carex","Phragmites","No","030616",80
"95","CAP2","Carex","Phragmites","Yes","030616",91
"96","CAP3CU","Carex","Phragmites","No","030616",106
"97","CAP3","Carex","Phragmites","Yes","030616",99
"98","CAP4","Carex","Phragmites","Yes","030616",105
"99","CAP5CU","Carex","Phragmites","No","030616",90
"100","CAP5","Carex","Phragmites","Yes","030616",100
"101","PCC3","Phragmites","Calamagrostis","Yes","030616",138
"102","PCC4CU","Phragmites","Calamagrostis","No","030616",190
"103","PCC4","Phragmites","Calamagrostis","Yes","030616",191
"104","PCC5CU","Phragmites","Calamagrostis","No","030616",174
"105","PCC5","Phragmites","Calamagrostis","Yes","030616",160
"106","PCC6CU","Phragmites","Calamagrostis","No","030616",122
