"","Site.ID","Species","Neighbours","Competition","date","height"
"1","CAP1","Carex","Phragmites","Yes","070617","75"
"2","CAP1","Carex","Phragmites","Yes","100517","34"
"3","CAP1","Carex","Phragmites","Yes","160617","132"
"4","CAP1","Carex","Phragmites","Yes","270517","82"
"5","CAP1","Carex","Phragmites","Yes","280617","140"
"6","CAP10","Carex","Phragmites","Yes","070617","127"
"7","CAP10","Carex","Phragmites","Yes","100517","76"
"8","CAP10","Carex","Phragmites","Yes","160617","150"
"9","CAP10","Carex","Phragmites","Yes","270517","117"
"10","CAP10","Carex","Phragmites","Yes","280617","210"
"11","CAP10CU","Carex","Phragmites","No","070617","104"
"12","CAP10CU","Carex","Phragmites","No","100517","77"
"13","CAP10CU","Carex","Phragmites","No","160617","142"
"14","CAP10CU","Carex","Phragmites","No","270517","108"
"15","CAP10CU","Carex","Phragmites","No","280617","150"
"16","CAP11","Carex","Phragmites","Yes","070617","120"
"17","CAP11","Carex","Phragmites","Yes","100517","79"
"18","CAP11","Carex","Phragmites","Yes","160617","141"
"19","CAP11","Carex","Phragmites","Yes","270517","98"
"20","CAP11","Carex","Phragmites","Yes","280617","160"
"21","CAP11CU","Carex","Phragmites","No","070617","63"
"22","CAP11CU","Carex","Phragmites","No","100517","80"
"23","CAP11CU","Carex","Phragmites","No","160617","60"
"24","CAP11CU","Carex","Phragmites","No","270517","100"
"25","CAP11CU","Carex","Phragmites","No","280617","61"
"26","CAP12","Carex","Phragmites","Yes","070617","104"
"27","CAP12","Carex","Phragmites","Yes","100517","71"
"28","CAP12","Carex","Phragmites","Yes","160617","103"
"29","CAP12","Carex","Phragmites","Yes","270517","91"
"30","CAP12","Carex","Phragmites","Yes","280617","118"
"31","CAP12CU","Carex","Phragmites","No","070617","91"
"32","CAP12CU","Carex","Phragmites","No","100517","66"
"33","CAP12CU","Carex","Phragmites","No","160617","95"
"34","CAP12CU","Carex","Phragmites","No","270517","82"
"35","CAP12CU","Carex","Phragmites","No","280617","120"
"36","CAP1CU","Carex","Phragmites","No","070617","70"
"37","CAP1CU","Carex","Phragmites","No","100517","35"
"38","CAP1CU","Carex","Phragmites","No","160617","131"
"39","CAP1CU","Carex","Phragmites","No","270517","75"
"40","CAP1CU","Carex","Phragmites","No","280617","130"
"41","CAP2","Carex","Phragmites","Yes","070617","97"
"42","CAP2","Carex","Phragmites","Yes","100517","55"
"43","CAP2","Carex","Phragmites","Yes","160617","116"
"44","CAP2","Carex","Phragmites","Yes","270517","90"
"45","CAP2","Carex","Phragmites","Yes","280617","140"
"46","CAP2CU","Carex","Phragmites","No","070617","96"
"47","CAP2CU","Carex","Phragmites","No","100517","57"
"48","CAP2CU","Carex","Phragmites","No","160617","127"
"49","CAP2CU","Carex","Phragmites","No","270517","91"
"50","CAP2CU","Carex","Phragmites","No","280617","127"
"51","CAP3","Carex","Phragmites","Yes","070617","86"
"52","CAP3","Carex","Phragmites","Yes","100517","63"
"53","CAP3","Carex","Phragmites","Yes","160617","123"
"54","CAP3","Carex","Phragmites","Yes","270517","105"
"55","CAP3","Carex","Phragmites","Yes","280617","125"
"56","CAP3CU","Carex","Phragmites","No","070617","82"
"57","CAP3CU","Carex","Phragmites","No","100517","61"
"58","CAP3CU","Carex","Phragmites","No","160617","115"
"59","CAP3CU","Carex","Phragmites","No","270517","75"
"60","CAP3CU","Carex","Phragmites","No","280617","135"
"61","CAP4","Carex","Phragmites","Yes","070617","81"
"62","CAP4","Carex","Phragmites","Yes","100517","55"
"63","CAP4","Carex","Phragmites","Yes","160617","146"
"64","CAP4","Carex","Phragmites","Yes","270517","92"
"65","CAP4","Carex","Phragmites","Yes","280617","156"
"66","CAP4CU","Carex","Phragmites","No","070617","80"
"67","CAP4CU","Carex","Phragmites","No","100517","52"
"68","CAP4CU","Carex","Phragmites","No","160617","141"
"69","CAP4CU","Carex","Phragmites","No","270517","70"
"70","CAP4CU","Carex","Phragmites","No","280617","143"
"71","CAP5","Carex","Phragmites","Yes","070617","89"
"72","CAP5","Carex","Phragmites","Yes","100517","72"
"73","CAP5","Carex","Phragmites","Yes","160617","144"
"74","CAP5","Carex","Phragmites","Yes","270517","118"
"75","CAP5","Carex","Phragmites","Yes","280617","153"
"76","CAP5CU","Carex","Phragmites","No","070617","90"
"77","CAP5CU","Carex","Phragmites","No","100517","75"
