"","PC1","PC2","PC3","Species"
"sit1",-0.835823833176954,-0.806982901577384,-0.416801124039031,"Carex"
"sit2",-0.341347445716655,-1.19750553615764,-1.28283463478346,"Carex"
"sit3",-0.0235781361426321,-1.06081435073143,-0.40135402490767,"Carex"
"sit4",-0.53653816951393,-1.28804796509791,-0.701382613244249,"Carex"
"sit5",-0.256076533232605,-0.271212702309613,-1.00954042441266,"Carex"
"sit6",-0.540264111708423,-0.588686050030866,0.440457977092099,"Carex"
"sit7",-0.294897152797894,-0.421667078780438,0.583129712369399,"Carex"
"sit8",0.0917067531166842,-0.164512618111669,0.778728138454159,"Carex"
"sit9",0.180764105207609,0.0847283052676069,-0.119469853535356,"Carex"
"sit10",0.173794417560988,-1.15460536230676,-0.350687804329261,"Carex"
"sit11",0.0708407387443413,-0.146162685440777,0.820613356845347,"Carex"
"sit12",0.0900469190151807,0.799381597090181,-1.11488321404466,"Carex"
"sit13",0.0616424312446121,-0.226489857855983,0.492997733267931,"Carex"
"sit14",-0.469040384098691,-0.136973196442949,-0.449377367838031,"Carex"
"sit15",-0.94253417565434,-0.514205214746621,0.514568785911635,"Carex"
"sit16",0.776709153886165,0.681746661207103,-0.156712071224887,"Typha"
"sit17",1.08573729569796,0.408645061348522,-0.404200903286879,"Typha"
"sit18",1.37659147491847,0.524632476158103,-0.374066427761176,"Typha"
"sit19",0.13537517114517,-0.0606230793891723,0.209114477215157,"Typha"
"sit20",0.04534896808264,0.307574819737697,-0.072808732749146,"Typha"
"sit21",1.1099382710508,0.891816721523802,-0.6821049253703,"Typha"
"sit22",1.18225196408633,0.223603125539437,-1.18372683724394,"Typha"
"sit23",1.07712079145304,-1.3649786176429,-0.164260744748606,"Typha"
"sit24",1.15394417902025,0.912380962284089,0.16866253299216,"Typha"
"sit25",0.160480802416139,-0.29588399674282,0.517628412030407,"Typha"
"sit26",1.30878171658067,-0.806877528403047,1.71089962024748,"Typha"
"sit27",1.28053473148638,0.000496259537979737,-0.24293468989432,"Typha"
"sit28",0.592928632582698,-0.594918181914557,-0.504164229802958,"Typha"
"sit29",1.37658484139281,-0.844407342690583,0.0910143654656046,"Typha"
"sit30",1.13581361523972,0.647259795561734,-0.866372717750807,"Typha"
"sit31",0.359198594816064,1.33055963660476,0.922367225406886,"Phragmites"
"sit32",-0.618971413909942,1.06665373773642,2.21396248107243,"Phragmites"
"sit33",0.0975228897368293,1.03451034255339,1.90397159123265,"Phragmites"
"sit34",0.812301019518506,-0.61609983790661,0.830566938712116,"Phragmites"
"sit35",0.293327255171176,0.453465132623208,-0.0769524981362647,"Phragmites"
"sit36",-0.676665746843499,-0.610109078849069,0.513858856673769,"Phragmites"
"sit37",0.197423815828902,-0.801408303240513,0.810763779172819,"Phragmites"
"sit38",0.767465192763741,-0.312490491133396,-0.666311146446323,"Phragmites"
"sit39",-0.913386334125937,-0.480710608276409,0.661995157629116,"Phragmites"
"sit40",0.570734256047567,0.136770939133011,0.293150034620167,"Phragmites"
"sit41",-0.00757772496642286,-1.30543257778383,-0.0623665901956318,"Phragmites"
"sit42",-0.0772544519733183,-0.506093366231495,0.630395780380354,"Phragmites"
"sit43",0.205265011631862,0.264699238038369,-0.0481407989993346,"Phragmites"
"sit44",-0.0957891103985228,0.0296915496334222,0.681342258498004,"Phragmites"
"sit45",-0.435099348557901,-0.621183476178306,0.77563415028402,"Phragmites"
"sit46",-0.551306589218678,0.406227414342647,-0.649360902908306,"Calamagrostis"
"sit47",-0.57408447658132,0.673522982601116,-0.828795808059742,"Calamagrostis"
"sit48",-0.756983418190751,0.138715384342262,-0.931168831690054,"Calamagrostis"
"sit49",-0.664998081623868,0.41535931292047,-0.590657955416202,"Calamagrostis"
"sit50",-0.836609113818414,0.798963616466281,-0.0159162935829581,"Calamagrostis"
"sit51",-0.84302366230313,0.50005992991124,-0.25693553810414,"Calamagrostis"
"sit52",-1.0531159260856,0.177658169106232,-0.113316831114716,"Calamagrostis"
"sit53",-1.02816641899133,-0.0227485067774799,-0.275418934050572,"Calamagrostis"
"sit54",-1.01866555439703,-0.315414940314045,-0.128478746091269,"Calamagrostis"
"sit55",-1.01620185382116,-0.487228374131969,-0.0385517010634285,"Calamagrostis"
"sit56",-0.477766651667718,1.23021694651975,0.127772577633638,"Calamagrostis"
"sit57",-0.70309917491611,0.776998797054518,-0.528060483626793,"Calamagrostis"
"sit58",-0.429962708595475,1.51960981484223,-0.0381294989862539,"Calamagrostis"
"sit59",-0.3888075660849,0.907546820310977,-0.263837688375042,"Calamagrostis"
"sit60",-0.36253974033016,0.680978277199775,-0.683512355392815,"Calamagrostis"
