Phytometer,Year,Neighbours,RCI
Phragmites,2016,Carex,0.569054781
Phragmites,2016,Carex,-4.169169489
Phragmites,2016,Carex,0.594128879
Phragmites,2016,Carex,0.490645771
Phragmites,2016,Carex,-0.858580508
Phragmites,2016,Calamagrostis,0.418587261
Phragmites,2016,Calamagrostis,-0.401565322
Phragmites,2016,Calamagrostis,0.249956711
Phragmites,2016,Calamagrostis,-0.257626501
Phragmites,2016,Calamagrostis,0.269566712
Phragmites,2016,Calamagrostis,-1.015303258
Phragmites,2016,Typha,0.071059004
Phragmites,2016,Typha,-0.579547426
Phragmites,2016,Typha,0.399302434
Phragmites,2016,Typha,0.0889274
Phragmites,2016,Typha,-0.251735281
Phragmites,2017,Calamagrostis,-1.727972626
Phragmites,2017,Calamagrostis,0.159343098
Phragmites,2017,Calamagrostis,0.422924901
Phragmites,2017,Calamagrostis,-0.346084201
Phragmites,2017,Carex,-0.98
Phragmites,2017,Carex,0.337259764
Phragmites,2017,Carex,0.528106509
Phragmites,2017,Carex,0.530292231
Phragmites,2017,Typha,-0.015359741
Phragmites,2017,Typha,-0.877480587
Phragmites,2017,Typha,0.27725703
Phragmites,2017,Typha,-0.858778626
Phragmites,2017,Typha,-1.384778013
Phragmites,2017,Typha,0.318219066
Phragmites,2017,Typha,0.012360447
