,Dataset,DataName,SpeciesName,TraitName,OriglName,value,OrigUnitStr,ValueKindName,OrigUncertaintyStr,UncertaintyName,Replicates,StdValue,UnitName
1,Leaf and Whole Plant Traits Database,SLA: petiole  excluded,Calamagrostis canadensis,SLA.nopetiole,SLA,385.4,cm2/g,Single,NA,,NA,38.54,mm2 mg-1
2,Leaf and Whole Plant Traits Database,SLA: petiole  excluded,Calamagrostis canadensis,SLA.nopetiole,SLA,212.6,cm2/g,Single,NA,,NA,21.26,mm2 mg-1
3,Leaf and Whole Plant Traits Database,SLA: petiole  excluded,Calamagrostis canadensis,SLA.nopetiole,SLA,446,cm2/g,Single,NA,,NA,44.6,mm2 mg-1
4,Leaf and Whole Plant Traits Database,SLA: petiole  excluded,Calamagrostis canadensis,SLA.nopetiole,SLA,336,cm2/g,Single,NA,,NA,33.6,mm2 mg-1
7,Leaf and Whole Plant Traits Database,SLA: petiole  excluded,Calamagrostis canadensis,SLA.nopetiole,SLA (cm2/g),385.4,cm2/g,Single,NA,,NA,38.54,mm2 mg-1
126,SLA and LDMC for Canadian Wetland Species,SLA: petiole  excluded,Calamagrostis canadensis,SLA.nopetiole,SLA mm2 mg-1,26.55397727,mm2 mg-1,Single,NA,,NA,26.55397727,mm2 mg-1
127,SLA and LDMC for Canadian Wetland Species,SLA: petiole  excluded,Calamagrostis canadensis,SLA.nopetiole,SLA mm2 mg-1,26.19178744,mm2 mg-1,Single,NA,,NA,26.19178744,mm2 mg-1
128,SLA and LDMC for Canadian Wetland Species,SLA: petiole  excluded,Calamagrostis canadensis,SLA.nopetiole,SLA mm2 mg-1,36.57356322,mm2 mg-1,Single,NA,,NA,36.57356322,mm2 mg-1
129,SLA and LDMC for Canadian Wetland Species,SLA: petiole  excluded,Calamagrostis canadensis,SLA.nopetiole,SLA mm2 mg-1,23.94029126,mm2 mg-1,Single,NA,,NA,23.94029126,mm2 mg-1
130,SLA and LDMC for Canadian Wetland Species,SLA: petiole  excluded,Calamagrostis canadensis,SLA.nopetiole,SLA mm2 mg-1,29.12592593,mm2 mg-1,Single,NA,,NA,29.12592593,mm2 mg-1
131,SLA and LDMC for Canadian Wetland Species,SLA: petiole  excluded,Calamagrostis canadensis,SLA.nopetiole,SLA mm2 mg-1,20.95041667,mm2 mg-1,Single,NA,,NA,20.95041667,mm2 mg-1
132,SLA and LDMC for Canadian Wetland Species,SLA: petiole  excluded,Calamagrostis canadensis,SLA.nopetiole,SLA mm2 mg-1,27.2038835,mm2 mg-1,Single,NA,,NA,27.2038835,mm2 mg-1
133,SLA and LDMC for Canadian Wetland Species,SLA: petiole  excluded,Calamagrostis canadensis,SLA.nopetiole,SLA mm2 mg-1,26.09651741,mm2 mg-1,Single,NA,,NA,26.09651741,mm2 mg-1
134,SLA and LDMC for Canadian Wetland Species,SLA: petiole  excluded,Calamagrostis canadensis,SLA.nopetiole,SLA mm2 mg-1,20.69638243,mm2 mg-1,Single,NA,,NA,20.69638243,mm2 mg-1
135,SLA and LDMC for Canadian Wetland Species,SLA: petiole  excluded,Calamagrostis canadensis,SLA.nopetiole,SLA mm2 mg-1,22.16115702,mm2 mg-1,Single,NA,,NA,22.16115702,mm2 mg-1
167,"Leaf Area, Dry Mass and SLA Dataset",SLA: petiole  included,Calamagrostis canadensis,SLA.petiole,Specific Leaf Area,210.3829272,cm2/g,Single,NA,,NA,21.03829272,mm2 mg-1
168,"Leaf Area, Dry Mass and SLA Dataset",SLA: petiole  included,Calamagrostis canadensis,SLA.petiole,Specific Leaf Area,209.9732518,cm2/g,Single,NA,,NA,20.99732518,mm2 mg-1
169,"Leaf Area, Dry Mass and SLA Dataset",SLA: petiole  included,Calamagrostis canadensis,SLA.petiole,Specific Leaf Area,199.6624473,cm2/g,Single,NA,,NA,19.96624473,mm2 mg-1
686,Alaska Peatland Experiment PFT values,SLA: petiole  included,Calamagrostis canadensis,SLA.petiole,sla (cm2 -g1),298.6216216,cm2/g,Single,NA,,NA,29.86216216,mm2 mg-1
687,Alaska Peatland Experiment PFT values,SLA: petiole  included,Calamagrostis canadensis,SLA.petiole,sla (cm2 -g1),179.0174672,cm2/g,Single,NA,,NA,17.90174672,mm2 mg-1
688,Alaska Peatland Experiment PFT values,SLA: petiole  included,Calamagrostis canadensis,SLA.petiole,sla (cm2 -g1),223.3063063,cm2/g,Single,NA,,NA,22.33063063,mm2 mg-1
689,Alaska Peatland Experiment PFT values,SLA: petiole  included,Calamagrostis canadensis,SLA.petiole,sla (cm2 -g1),175.0333333,cm2/g,Single,NA,,NA,17.50333333,mm2 mg-1
690,Alaska Peatland Experiment PFT values,SLA: petiole  included,Calamagrostis canadensis,SLA.petiole,sla (cm2 -g1),218.9527559,cm2/g,Single,NA,,NA,21.89527559,mm2 mg-1
