,X,spp_trt,neigh_trt,Treatment,phy_trt,Neighbour,Phytometer,light,avg,sd,N,str
1,29,Phragmites_Calamagrostis_Competition,Calamagrostis_With competition,With competition,Phragmites_Calamagrostis,Calamagrostis,Phragmites,0,-0.391666667,1.502850826,12,0.433835665
2,30,Phragmites_Calamagrostis_Competition,Calamagrostis_With competition,With competition,Phragmites_Calamagrostis,Calamagrostis,Phragmites,50,0.825,1.545741952,12,0.446217266
3,31,Phragmites_Calamagrostis_Competition,Calamagrostis_With competition,With competition,Phragmites_Calamagrostis,Calamagrostis,Phragmites,100,2.5125,1.51569441,12,0.437543288
4,32,Phragmites_Calamagrostis_Competition,Calamagrostis_With competition,With competition,Phragmites_Calamagrostis,Calamagrostis,Phragmites,200,6.195833333,1.276440066,12,0.368476508
5,33,Phragmites_Calamagrostis_Competition,Calamagrostis_With competition,With competition,Phragmites_Calamagrostis,Calamagrostis,Phragmites,500,12.35833333,1.527153224,12,0.440851162
6,34,Phragmites_Calamagrostis_Competition,Calamagrostis_With competition,With competition,Phragmites_Calamagrostis,Calamagrostis,Phragmites,1000,16.30833333,2.784603231,12,0.803845712
7,35,Phragmites_Calamagrostis_Competition,Calamagrostis_With competition,With competition,Phragmites_Calamagrostis,Calamagrostis,Phragmites,1500,18.27083333,3.674386673,12,1.060704067
8,36,Phragmites_Calamagrostis_No competition,Calamagrostis_Without competition,Without competition,Phragmites_Calamagrostis,Calamagrostis,Phragmites,0,-1.0625,0.96651318,12,0.279008322
9,37,Phragmites_Calamagrostis_No competition,Calamagrostis_Without competition,Without competition,Phragmites_Calamagrostis,Calamagrostis,Phragmites,50,0.195833333,0.867718621,12,0.25048879
10,38,Phragmites_Calamagrostis_No competition,Calamagrostis_Without competition,Without competition,Phragmites_Calamagrostis,Calamagrostis,Phragmites,100,2.066666667,0.908878763,12,0.262370699
11,39,Phragmites_Calamagrostis_No competition,Calamagrostis_Without competition,Without competition,Phragmites_Calamagrostis,Calamagrostis,Phragmites,200,5.620833333,0.922806572,12,0.266391311
12,40,Phragmites_Calamagrostis_No competition,Calamagrostis_Without competition,Without competition,Phragmites_Calamagrostis,Calamagrostis,Phragmites,500,12.375,1.524422394,12,0.44006284
13,41,Phragmites_Calamagrostis_No competition,Calamagrostis_Without competition,Without competition,Phragmites_Calamagrostis,Calamagrostis,Phragmites,1000,16.81666667,2.697754397,12,0.778774614
14,42,Phragmites_Calamagrostis_No competition,Calamagrostis_Without competition,Without competition,Phragmites_Calamagrostis,Calamagrostis,Phragmites,1500,18.77916667,3.15633982,12,0.911156822
15,43,Phragmites_Carex_Competition,Carex_With competition,With competition,Phragmites_Carex,Carex,Phragmites,0,-0.733333333,0.892731593,12,0.257709413
16,44,Phragmites_Carex_Competition,Carex_With competition,With competition,Phragmites_Carex,Carex,Phragmites,50,0.4,0.907544139,12,0.261985426
17,45,Phragmites_Carex_Competition,Carex_With competition,With competition,Phragmites_Carex,Carex,Phragmites,100,2,0.840995082,12,0.242774368
18,46,Phragmites_Carex_Competition,Carex_With competition,With competition,Phragmites_Carex,Carex,Phragmites,200,5.583333333,1.234970249,12,0.356505203
19,47,Phragmites_Carex_Competition,Carex_With competition,With competition,Phragmites_Carex,Carex,Phragmites,500,12.29166667,2.046042003,12,0.590641451
20,48,Phragmites_Carex_Competition,Carex_With competition,With competition,Phragmites_Carex,Carex,Phragmites,1000,16.5,2.92450462,12,0.844231765
21,49,Phragmites_Carex_Competition,Carex_With competition,With competition,Phragmites_Carex,Carex,Phragmites,1500,18.275,3.567562193,12,1.029866496
22,50,Phragmites_Carex_No competition,Carex_Without competition,Without competition,Phragmites_Carex,Carex,Phragmites,0,-1.009090909,0.728635088,11,0.219691745
