Site ID,Species,Neighbours,Competition,10-May-17,27-May-17,07-Jun-17,16-Jun-17,28-Jun-17
CAP1,Carex,Phragmites,Yes,34,82,75,132,140
CAP10,Carex,Phragmites,Yes,76,117,127,150,210
CAP10CU,Carex,Phragmites,No,77,108,104,142,150
CAP11,Carex,Phragmites,Yes,79,98,120,141,160
CAP11CU,Carex,Phragmites,No,80,100,63,60,61
CAP12,Carex,Phragmites,Yes,71,91,104,103,118
CAP12CU,Carex,Phragmites,No,66,82,91,95,120
CAP1CU,Carex,Phragmites,No,35,75,70,131,130
CAP2,Carex,Phragmites,Yes,55,90,97,116,140
CAP2CU,Carex,Phragmites,No,57,91,96,127,127
CAP3,Carex,Phragmites,Yes,63,105,86,123,125
CAP3CU,Carex,Phragmites,No,61,75,82,115,135
CAP4,Carex,Phragmites,Yes,55,92,81,146,156
CAP4CU,Carex,Phragmites,No,52,70,80,141,143
CAP5,Carex,Phragmites,Yes,72,118,89,144,153
CAP5CU,Carex,Phragmites,No,75,89,90,141,158
CAP6,Carex,Phragmites,Yes,80,114,100,154,163
CAP6CU,Carex,Phragmites,No,81,95,103,142,145
CAP7,Carex,Phragmites,Yes,53,90,104,131,135
CAP7CU,Carex,Phragmites,No,51,71,95,155,140
CAP8,Carex,Phragmites,Yes,66,96,93,134,138
CAP8CU,Carex,Phragmites,No,63,76,80,130,131
CAP9,Carex,Phragmites,Yes,67,108,103,140,160
CAP9CU,Carex,Phragmites,No,68,92,92,143,150
CCP1,Calamagrostis,Phragmites,Yes,61,79,80,88,88
CCP10,Calamagrostis,Phragmites,Yes,70,83,76,85,88
CCP10CU,Calamagrostis,Phragmites,No,70,85,93,101,110
CCP11,Calamagrostis,Phragmites,Yes,79,97,106,112,120
CCP11CU,Calamagrostis,Phragmites,No,80,100,104,111,111
CCP12,Calamagrostis,Phragmites,Yes,75,101,115,118,118
CCP12CU,Calamagrostis,Phragmites,No,74,103,118,121,125
CCP1CU,Calamagrostis,Phragmites,No,63,67,74,93,100
CCP2,Calamagrostis,Phragmites,Yes,67,81,93,110,145
CCP2CU,Calamagrostis,Phragmites,No,67,87,95,98,110
CCP3,Calamagrostis,Phragmites,Yes,67,95,105,95,95
CCP3CU,Calamagrostis,Phragmites,No,68,82,87,94,96
CCP4,Calamagrostis,Phragmites,Yes,70,90,99,110,118
CCP4CU,Calamagrostis,Phragmites,No,71,93,91,202,115
CCP5,Calamagrostis,Phragmites,Yes,71,99,110,120,124
CCP5CU,Calamagrostis,Phragmites,No,70,90,89,94,95
CCP6,Calamagrostis,Phragmites,Yes,65,104,74,98,100
CCP6CU,Calamagrostis,Phragmites,No,64,86,91,99,105
CCP7,Calamagrostis,Phragmites,Yes,64,84,91,105,112
CCP7CU,Calamagrostis,Phragmites,No,65,86,94,109,110
CCP8,Calamagrostis,Phragmites,Yes,62,86,96,90,90
