"","V1","V2","V3","V4"
"Species","Calamagrostis","Carex","Phragmites","Typha"
"C_Mean","47.48411","46.05430","46.93667","48.37010"
"C_SD","1.5097954","0.8619747","0.9453844","1.3291585"
"C_SE","0.5032651","0.2725803","0.2228292","0.4203168"
"C_CV","0.03179580","0.01871649","0.02014170","0.02747893"
"N_Mean","1.458333","0.959800","2.120056","1.841300"
"N_SD","0.4079062","0.3052161","0.4980093","0.5814530"
"N_SE","0.13596875","0.09651779","0.11738191","0.18387158"
"N_CV","0.2797071","0.3179996","0.2349039","0.3157839"
"DeltaC_Mean","-27.45000","-28.29700","-26.57722","-29.63100"
"DeltaC_SD","1.0219956","0.8486074","0.7803454","0.8027100"
"DeltaC_SE","0.3406652","0.2683532","0.1839292","0.2538392"
"DeltaC_CV","-0.03723117","-0.02998930","-0.02936143","-0.02709021"
"DeltaN_Mean","2.398889","2.906000","4.040000","1.930000"
"DeltaN_SD","1.5251922","0.8528931","0.8298547","0.8017342"
"DeltaN_SE","0.5083974","0.2697085","0.1955986","0.2535306"
"DeltaN_CV","0.6357911","0.2934938","0.2054096","0.4154063"
