Site,Phytometer,Treatment,Year,Neighbour,Canopy,Phytometer,Incident
PCC1CU,Phragmites,No,2017,Calamagrostis,1420,1417,100
PCC1,Phragmites,Yes,2017,Calamagrostis,1395,1312,94
PCC2CU,Phragmites,No,2017,Calamagrostis,1460,1145,78
PCC2,Phragmites,Yes,2017,Calamagrostis,1517,1301,86
PCC3CU,Phragmites,No,2017,Calamagrostis,1408,1400,99
PCC3,Phragmites,Yes,2017,Calamagrostis,1575,1568,100
CCP1CU,Calamagrostis,No,2017,Phragmites,1568,1112,71
CCP1,Calamagrostis,Yes,2017,Phragmites,1497,302.2,20
CCP2CU,Calamagrostis,No,2017,Phragmites,1602,97.94,6
CCP2,Calamagrostis,Yes,2017,Phragmites,1632,395.8,24
CCP3CU,Calamagrostis,No,2017,Phragmites,1579,913.3,58
CCP3,Calamagrostis,Yes,2017,Phragmites,1572,98.03,6
CCP4CU,Calamagrostis,No,2017,Phragmites,1716,1606,94
CCP4,Calamagrostis,Yes,2017,Phragmites,1795,302.7,17
CCP5CU,Calamagrostis,No,2017,Phragmites,1781,1504,84
CCP5,Calamagrostis,Yes,2017,Phragmites,1839,302.7,16
CCP6CU,Calamagrostis,No,2017,Phragmites,1790,1736,97
CCP6,Calamagrostis,Yes,2017,Phragmites,1839,731.9,40
CCP7CU,Calamagrostis,No,2017,Phragmites,1886,302.7,16
CCP7,Calamagrostis,Yes,2017,Phragmites,1933,201.6,10
CCP8CU,Calamagrostis,No,2017,Phragmites,1985,1806,91
CCP8,Calamagrostis,Yes,2017,Phragmites,1956,226.8,12
CCP9CU,Calamagrostis,No,2017,Phragmites,1979,112.9,6
CCP9,Calamagrostis,Yes,2017,Phragmites,1969,1864,95
PCC4,Phragmites,Yes,2017,Calamagrostis,1965,1807,92
CCP10CU,Calamagrostis,No,2017,Phragmites,1932,429.3,22
CCP10,Calamagrostis,Yes,2017,Phragmites,1973,97.86,5
CCP11CU,Calamagrostis,No,2017,Phragmites,1983,1770,89
CCP11,Calamagrostis,Yes,2017,Phragmites,1966,302,15
CCP12CU,Calamagrostis,No,2017,Phragmites,1960,1958,100
CCP12,Calamagrostis,Yes,2017,Phragmites,1989,1570,79
PCC4CU,Phragmites,No,2017,Calamagrostis,1908,1957,103
CAP1CU,Carex,No,2017,Phragmites,1890,1611,85
CAP1,Carex,Yes,2017,Phragmites,1949,1853,95
PCA1CU,Phragmites,No,2017,Carex,1963,1938,99
PCA1,Phragmites,Yes,2017,Carex,1445,1313,91
CAP2CU,Carex,No,2017,Phragmites,1467,302.7,21
CAP2,Carex,Yes,2017,Phragmites,1516,91.17,6
CAP3CU,Carex,No,2017,Phragmites,1471,145.4,10
CAP3,Carex,Yes,2017,Phragmites,1323,1172,89
CAP4CU,Carex,No,2017,Phragmites,1702,1209,71
CAP4,Carex,Yes,2017,Phragmites,1471,172.9,12
CAP5CU,Carex,No,2017,Phragmites,1705,281.8,17
CAP5,Carex,Yes,2017,Phragmites,871.2,1720,197
CAP6CU,Carex,No,2017,Phragmites,856.7,237.9,28
CAP6,Carex,Yes,2017,Phragmites,862.9,252.3,29
CAP7CU,Carex,No,2017,Phragmites,1080,372.3,34
CAP7,Carex,Yes,2017,Phragmites,910,233.7,26
CAP8CU,Carex,No,2017,Phragmites,854.2,229.1,27
CAP8,Carex,Yes,2017,Phragmites,865.5,75.62,9
CAP9CU,Carex,No,2017,Phragmites,829.6,279.3,34
CAP9,Carex,Yes,2017,Phragmites,1584,282.7,18
CAP10CU,Carex,No,2017,Phragmites,831,319,38
CAP10,Carex,Yes,2017,Phragmites,1542,274.3,18
CAP11CU,Carex,No,2017,Phragmites,1691,353,21
CAP11,Carex,Yes,2017,Phragmites,745.8,232.1,31
PCA2CU,Phragmites,No,2017,Carex,1152,977.1,85
PCA2,Phragmites,Yes,2017,Carex,819.2,487.1,59
PCA3CU,Phragmites,No,2017,Carex,1070,1045,98
PCA3,Phragmites,Yes,2017,Carex,1088,1001,92
PCA4CU,Phragmites,No,2017,Carex,1121,1005,90
PCA4,Phragmites,Yes,2017,Carex,1112,1028,92
PCA5CU,Phragmites,No,2017,Carex,1128,1011,90
PCA6CU,Phragmites,No,2017,Carex,1069,811.5,76
PCA6,Phragmites,Yes,2017,Carex,1069,834.3,78
PCC5CU,Phragmites,No,2017,Calamagrostis,745.9,640.2,86
PCC5,Phragmites,Yes,2017,Calamagrostis,746.1,301.8,40
PCA5,Phragmites,Yes,2017,Carex,958.6,958.9,100
PCC6CU,Phragmites,No,2017,Calamagrostis,854.4,828.6,97
PCC6,Phragmites,Yes,2017,Calamagrostis,943.7,817.3,87
CAP12CU,Carex,No,2017,Phragmites,872.4,402,46
CAP12,Carex,Yes,2017,Phragmites,896.7,193.2,22
TYP1CU,Typha,No,2017,Phragmites,1058,860.7,81
TYP1,Typha,Yes,2017,Phragmites,1166,269.8,23
TYP2CU,Typha,No,2017,Phragmites,1307,1111,85
TYP2,Typha,Yes,2017,Phragmites,1276,577.1,45
TYP3CU,Typha,No,2017,Phragmites,1243,1004,81
TYP3,Typha,Yes,2017,Phragmites,1072,641.2,60
TYP4CU,Typha,No,2017,Phragmites,1250,1124,90
TYP4,Typha,Yes,2017,Phragmites,1403,854.1,61
TYP5CU,Typha,No,2017,Phragmites,1494,1426,95
TYP5,Typha,Yes,2017,Phragmites,1571,1454,93
TYP6CU,Typha,No,2017,Phragmites,1710,1373,80
TYP6,Typha,Yes,2017,Phragmites,1639,1509,92
PTY1CU,Phragmites,No,2017,Typha,1332,1256,94
PTY1,Phragmites,Yes,2017,Typha,2196,1787,81
PTY2CU,Phragmites,No,2017,Typha,1845,1811,98
PTY2,Phragmites,Yes,2017,Typha,1369,1312,96
PTY3CU,Phragmites,No,2017,Typha,DEAD,,0
PTY3,Phragmites,Yes,2017,Typha,1766,1796,102
PTY4CU,Phragmites,No,2017,Typha,878.9,813.7,93
PTY4,Phragmites,Yes,2017,Typha,769.2,720.4,94
PTY5CU,Phragmites,No,2017,Typha,DEAD,,0
PTY5,Phragmites,Yes,2017,Typha,713.2,593.2,83
PTY6CU,Phragmites,No,2017,Typha,677.6,577.9,85
PTY6,Phragmites,Yes,2017,Typha,755.8,634.1,84
