n,ID,Year,Species,Treatment,Neighbour,LCPT,LSP
72,CCP1_2016,2016,Calamagrostis,Competition,Phragmites,-5.974398779,865.6033056
97,CCP1_2017,2017,Calamagrostis,Competition,Phragmites,-23.23189156,346.0606257
60,CCP10_2016,2016,Calamagrostis,Competition,Phragmites,25.07787623,366.6287087
98,CCP10_2017,2017,Calamagrostis,Competition,Phragmites,45.50543953,532.1797057
62,CCP11_2016,2016,Calamagrostis,Competition,Phragmites,70.68085907,3558.919511
100,CCP11_2017,2017,Calamagrostis,Competition,Phragmites,26.21882336,439.7488078
64,CCP12_2016,2016,Calamagrostis,Competition,Phragmites,87.86755838,795.1075293
102,CCP12_2017,2017,Calamagrostis,Competition,Phragmites,40.32282379,470.2203762
74,CCP2_2016,2016,Calamagrostis,Competition,Phragmites,-0.770937661,431.852417
105,CCP2_2017,2017,Calamagrostis,Competition,Phragmites,14.0663256,528.4315815
76,CCP3_2016,2016,Calamagrostis,Competition,Phragmites,0.783478456,843.2314308
107,CCP3_2017,2017,Calamagrostis,Competition,Phragmites,4.583688467,487.477892
49,CCP4_2016,2016,Calamagrostis,Competition,Phragmites,32.11984145,305.3627594
109,CCP4_2017,2017,Calamagrostis,Competition,Phragmites,11.86392956,569.1912168
50,CCP5_2016,2016,Calamagrostis,Competition,Phragmites,36.0086094,430.5853448
111,CCP5_2017,2017,Calamagrostis,Competition,Phragmites,18.59843644,521.6215066
113,CCP6_2017,2017,Calamagrostis,Competition,Phragmites,5.322356911,247.4389152
54,CCP7_2016,2016,Calamagrostis,Competition,Phragmites,43.41862793,2169.158615
115,CCP7_2017,2017,Calamagrostis,Competition,Phragmites,15.22482989,923.9704359
56,CCP8_2016,2016,Calamagrostis,Competition,Phragmites,37.97876364,207.2180935
117,CCP8_2017,2017,Calamagrostis,Competition,Phragmites,9.049351601,234.5554245
58,CCP9_2016,2016,Calamagrostis,Competition,Phragmites,21.15390217,521.2450617
119,CCP9_2017,2017,Calamagrostis,Competition,Phragmites,16.09916507,760.838833
52,CPP6_2016,2016,Calamagrostis,Competition,Phragmites,33.73797149,541.768693
61,CCP10CU_2016,2016,Calamagrostis,No competition,Phragmites,32.92204941,567.0794537
99,CCP10CU_2017,2017,Calamagrostis,No competition,Phragmites,8.339284323,346.2372362
63,CCP11CU_2016,2016,Calamagrostis,No competition,Phragmites,70.75660606,1647.823751
101,CCP11CU_2017,2017,Calamagrostis,No competition,Phragmites,13.51605534,477.201699
103,CCP12CU_2017,2017,Calamagrostis,No competition,Phragmites,7.262566521,546.3269702
73,CCP1CU_2016,2016,Calamagrostis,No competition,Phragmites,44.11499179,1003.111894
104,CCP1CU_2017,2017,Calamagrostis,No competition,Phragmites,0.317499564,714.9585939
75,CCP2CU_2016,2016,Calamagrostis,No competition,Phragmites,9.882092895,365.9443984
106,CCP2CU_2017,2017,Calamagrostis,No competition,Phragmites,1.73345407,650.0952214
108,CCP3CU_2017,2017,Calamagrostis,No competition,Phragmites,9.342070623,622.6646056
110,CCP4CU_2017,2017,Calamagrostis,No competition,Phragmites,2.803617223,524.6272609
51,CCP5CU_2016,2016,Calamagrostis,No competition,Phragmites,32.23259409,904.4295682
112,CCP5CU_2017,2017,Calamagrostis,No competition,Phragmites,NA,NA
53,CCP6CU_2016,2016,Calamagrostis,No competition,Phragmites,34.96144241,694.2496073
114,CCP6CU_2017,2017,Calamagrostis,No competition,Phragmites,16.58510507,605.9396823
55,CCP7CU_2016,2016,Calamagrostis,No competition,Phragmites,34.84529665,646.2332499
116,CCP7CU_2017,2017,Calamagrostis,No competition,Phragmites,22.94079177,584.7003821
57,CCP8CU_2016,2016,Calamagrostis,No competition,Phragmites,30.53667166,744.6992596
118,CCP8CU_2017,2017,Calamagrostis,No competition,Phragmites,NA,NA
59,CCP9CU_2016,2016,Calamagrostis,No competition,Phragmites,45.13502465,894.8783273
120,CCP9CU_2017,2017,Calamagrostis,No competition,Phragmites,32.74105434,430.5600621
65,CAP1_2016,2016,Carex,Competition,Phragmites,-11.95830069,207.5315025
77,CAP1_2017,2017,Carex,Competition,Phragmites,49.0134559,419.9834113
70,CAP10_2016,2016,Carex,Competition,Phragmites,NA,NA
78,CAP10_2017,2017,Carex,Competition,Phragmites,20.33935307,581.3114147
67,CAP11_2016,2016,Carex,Competition,Phragmites,NA,NA
80,CAP11_2017,2017,Carex,Competition,Phragmites,31.84697243,614.7918082
