,V1,V2,V3,V4,,,,
Species,Calamagrostis,Carex,Phragmites,Typha,,Max,Min,
Moisture_Mean,736466.7,791600,782266.7,819533.3,,819533.3,736466.7,
Moisture_SD,59532.54,35936.05,148920.14,49816.62,,,,
Moisture_SE,15371.237,9278.649,38451.016,12862.595,,,,
Cu_Mean,3.083333,2.238733,2.206667,4.872667,,4.872667,2.206667,
Cu_SD,1.108452,1.787405,1.077886,2.482653,,,,
Cu_SE,0.2862012,0.461506,0.278309,0.6410181,,,,
Fe_Mean,107.028,130.2933,167.84,398.9333,,398.9333,107.028,
Fe_SD,41.06576,57.69327,75.23168,146.35547,,,,
Fe_SE,10.60313,14.89634,19.42474,37.78882,,,,
Mn_Mean,14.488,35.34,47.63133,50.16667,,50.16667,14.488,
Mn_SD,3.150778,18.904225,50.186376,23.594511,,,,
Mn_SE,0.8135274,4.8810498,12.9580665,6.0920766,,,,
P_Mean,9.201333,14.733333,18.806667,35.6,,35.6,9.201333,kg/kg
P_SD,2.905775,3.32666,10.539278,20.282998,,,,
P_SE,0.7502678,0.8589399,2.7212299,5.2370475,,,,
Mg_Mean,85.68667,96.2,179.86667,424,,424,85.68667,
Mg_SD,24.92747,29.24576,83.53431,194.9652,,,,
Mg_SE,6.436244,7.551222,21.568466,50.339798,,,,
K_Mean,34.158,45.93333,46.66667,128.6,,128.6,34.158,
K_SD,11.79645,17.61277,25.03902,68.80386,,,,
K_SE,3.04583,4.547597,6.465046,17.765081,,,,
pH_Mean,7.4,7.026667,6.94,6.58,,7.4,6.58,
pH_SD,0.136277,0.2404361,0.3065942,0.4246007,,,,
pH_SE,0.03518658,0.06208034,0.07916228,0.10963142,,,,
N_Mean,1780,3020,4473.333,11066.667,,11066.667,1780,
N_SD,596.6574,961.5464,3089.2594,4946.8123,,,,
N_SE,154.0563,248.2702,797.6434,1277.2615,,,,
Zn_Mean,2.282,4.904667,5.328,11.134667,,11.134667,2.282,
Zn_SD,0.7180052,1.4208693,4.3714744,5.9171625,,,,
Zn_SE,0.1853881,0.3668669,1.1287098,1.5278048,,,,
PC_Mean,42440,55866.67,78520,153060,,153060,42440,
PC_SD,12919.96,24593.95,39287.46,49581.6,,,,
PC_SE,3335.92,6350.131,10143.979,12801.915,,,,
TN_Mean,1940,2860,4666.667,10806.667,,10806.667,1940,
TN_SD,1159.31,1948.919,2945.133,4705.842,,,,
TN_SE,299.3326,503.2088,760.4301,1215.0433,,,,
Na_Mean,17.70533,39.68,44.57333,84.90667,,84.90667,17.70533,
Na_SD,2.757721,19.118846,11.990917,55.979658,,,,
Na_SE,0.7120406,4.9364649,3.0960415,14.4538855,,,,
Ca_Mean,2981.544,4338.2,5061.6,7767.333,,7767.333,2981.544,
Ca_SD,412.0649,594.9528,1421.9763,2410.5545,,,,
Ca_SE,106.3947,153.6162,367.1527,622.4025,,,,
S_Mean,362,635.3333,1136.6667,2586.6667,,2586.6667,362,
S_SD,83.76839,223.92176,542.75312,1394.82035,,,,
S_SE,21.6289,57.81635,140.13825,360.14107,,,,
Light_Mean,8.086667,16.06,2.746667,6.193333,,16.06,2.746667,
Light_SD,8.352319,22.527279,3.224874,5.998865,,,,
Light_SE,2.1565596,5.8165183,0.8326588,1.5489003,,,,
