Vegetation ,Species,Moisture,Cu,Fe,Mn,P ,Mg ,K ,N,Zn ,PC,TN,Na,Ca,S,Light,pH
Carex1,Carex,5.897077554,0.344392274,1.845718018,1.380211242,1.079181246,1.832508913,1.397940009,3.204391332,0.619093331,4.336479747,2.478566496,1.481442629,3.574378564,2.519827994,1.23299611,7.2
Carex2,Carex,5.893207308,0.457881897,2.089905111,1.57634135,1.146128036,1.995635195,1.73239376,3.431524584,0.73239376,4.6739512,2.954724791,1.588831726,3.612783857,2.771587481,1.940516485,7.3
Carex3,Carex,5.885926905,0.401400541,2.086359831,1.692846919,1.230448921,2.045322979,1.763427994,3.643551369,0.698100546,4.962847412,3.748265573,1.401400541,3.755417463,2.909020854,1.396199347,7.2
Carex4,Carex,5.907949058,0.369215857,1.937016107,1.522444234,1.176091259,1.924279286,1.380211242,3.361916619,0.745855195,4.35220182,2.845718018,1.888179494,3.598790507,2.663700925,1.614897216,7.3
Carex5,Carex,5.919078616,0.515873844,2.10720997,1.26245109,1.176091259,2.004321374,1.653212514,3.556423121,0.833784375,4.654186171,3.431524584,1.257678575,3.681964459,2.875639937,1.184691431,7.2
Carex6,Carex,5.895975284,0.309630167,1.846337112,1.444044796,1.204119983,1.886490725,1.612783857,3.278982117,0.622214023,4.488564817,3.000434077,1.750508395,3.56549363,2.557507202,0.72427587,7.1
Carex7,Carex,5.876795553,0.411619706,2.053078443,1.523746467,1.146128036,1.939519253,1.477121255,3.38039216,0.729974286,4.654186171,3.431524584,1.762678564,3.581266805,2.7084209,0.72427587,6.9
Carex8,Carex,5.903633058,0.546542663,2.336459734,1.804820679,1.230448921,2.045322979,1.740362689,3.505285674,0.879669206,4.746641982,3.301247089,1.589949601,3.646697731,2.92992956,0.301029996,6.5
Carex9,Carex,5.932981329,0.550228353,2.260071388,1.367355921,1.301029996,2.281033367,1.897627091,3.612889769,0.86569606,4.860942603,3.662852233,1.851869601,3.673849977,2.949877704,0.579783597,7.2
Carex10,Carex,5.89872573,0.517195898,2.292256071,1.846337112,1.342422681,1.968482949,1.716003344,3.602168551,0.827369273,4.884234439,3.740441645,1.619093331,3.66238002,2.968949681,1.450249108,6.6
Carex11,Carex,5.845718638,0.564666064,2.374748346,1.846337112,1.113943352,1.939519253,1.740362689,3.568319085,0.69019608,4.969886299,3.716086854,1.610660163,3.691346764,2.924795996,0.556302501,7
Carex12,Carex,5.919601546,0.970811611,2.149219113,1.278753601,1.301029996,2.004321374,1.806179974,3.59117595,0.894869657,4.904179783,3.699056855,1.350248018,3.658964843,2.857935265,0.792391689,6.8
Carex13,Carex,5.899821049,0.475671188,2.204119983,1.598790507,1.230448921,1.959041392,1.838849091,3.556423121,0.856124444,4.896531729,3.57989787,1.72916479,3.671172843,2.898176483,0.491361694,7
Carex14,Carex,5.899821049,0.414973348,1.910090546,1.136720567,1.176091259,1.963787827,1.491361694,3.38039216,0.853698212,4.659925703,3.361916619,1.285557309,3.586137025,2.613841822,0.939519253,7
Carex15,Carex,5.89487021,0.248218561,1.626340367,1.330413773,0.954242509,1.812913357,1.342422681,3.176380692,0.526339277,4.488564817,2.778874472,1.269512944,3.544811912,2.463892989,0.602059991,7.1
Typha1,Typha,5.918030861,0.800717078,2.509202522,1.413299764,1.431363764,2.663700925,1.919078092,3.892150278,1.089905111,5.074820096,3.812980166,2.025305865,3.768638101,3.38039216,0.491361694,6.8
Typha2,Typha,5.902003436,0.857332496,2.720985744,1.691965103,1.556302501,2.756636108,2.004321374,4.117304447,1.173186268,5.15290265,4.064495427,1.706717782,3.865222456,3.447313109,0.763427994,6.4
Typha3,Typha,5.926857223,0.905256049,2.651278014,1.705007959,1.982271233,2.778874472,2.206825876,4.173215415,1.214843848,5.264584091,4.15839265,1.848804701,4.000477461,3.415140352,0.491361694,6.4
Typha4,Typha,5.904716086,0.57863921,2.356025857,1.608526034,1.146128036,2.117271296,1.653212514,3.662852233,0.797959644,4.98900907,3.690284703,1.612783857,3.782830805,3.041787319,0.531478917,7.3
Typha5,Typha,5.92993007,0.695481676,2.257678575,1.492760389,1.255272505,2.281033367,1.672097858,3.531606632,0.722633923,4.80618676,3.505285674,1.546542663,3.683857205,2.903632516,0.447158031,7
Typha6,Typha,5.931458379,0.952792443,2.638489257,1.501059262,1.579783597,2.733197265,2.08278537,4.064495427,1.397940009,5.149222193,4.056942946,1.898725182,3.840670561,3.398113692,0.491361694,6.7
Typha7,Typha,5.93094954,1.014100322,2.703291378,1.664641976,1.602059991,2.839478047,2.149219113,4.064495427,1.056904851,5.166433074,4.082821261,1.932980822,3.850217242,3.415140352,1.250420002,6.3
Typha8,Typha,5.923244537,0.477121255,2.378397901,1.923761961,1.612783857,2.478566496,2.08278537,4.214870329,0.979548375,5.337660887,4.181872159,1.875639937,4.115976429,3.447313109,1.294466226,6.6
Typha9,Typha,5.836324749,0.819543936,2.53529412,1.357934847,1.491361694,2.663700925,2.303196057,3.90314427,1.217483944,5.213785954,3.913866812,2.434568904,3.869583708,3.832572775,0.73239376,6.6
Typha10,Typha,5.904716086,0.56937391,2.423245874,1.646403726,1.204119983,2.045322979,1.579783597,3.643551369,0.621176282,4.987670733,3.699056855,1.803457116,3.739651444,3.000434077,0.612783857,6.9
Typha11,Typha,5.867468077,0.315970345,2.777426822,1.936010796,1.62324929,2.800029359,2.303196057,4.233021507,0.736396502,5.331429321,4.222742476,2.06069784,3.845470133,3.531606632,0.643452676,5.4
Typha12,Typha,5.92993007,0.797267541,2.675778342,1.962842681,1.491361694,2.78604121,2.432969291,4.143046043,1.303196057,5.236035669,4.133570841,1.839478047,3.838597253,3.462547729,0.681241237,6.4
Typha13,Typha,5.914872346,0.636487896,2.549003262,1.627365857,1.361727836,2.257678575,1.785329835,3.845160078,0.907948522,5.130658564,3.863382348,1.800717078,3.861713588,3.255513713,1.255272505,6.7
Typha14,Typha,5.939519752,0.553883027,2.845718018,1.927370363,1.556302501,2.63447727,2.281033367,4.281056105,1.103803721,5.395328141,4.27186483,1.981365509,4.103495844,3.447313109,0.880813592,6.4
Typha15,Typha,5.931458379,0.950364854,2.57863921,1.556302501,1.77815125,2.663700925,2.206825876,4.117304447,1.1430148,5.184978027,4.123884293,1.820857989,3.93358851,3.398113692,0.681241237,6.8
Phragmites1,Phragmites,5.741152387,0.671172843,2.348304863,1.252853031,1.414973348,2.36361198,1.748188027,3.716086854,0.851869601,5.017871887,3.812980166,1.754348336,3.747023177,3.278982117,0.462397998,6.8
Phragmites2,Phragmites,5.658012351,0.322219295,1.866877814,1.292256071,0.991226076,2.045322979,1.477121255,3.176380692,0.451786436,4.752824104,3.361916619,1.586587305,3.563243701,2.845718018,0.255272505,7.3
Phragmites3,Phragmites,5.690196966,0.544068044,2.26245109,1.651278014,1.204119983,2.23299611,1.740362689,3.568319085,0.856124444,4.781762553,3.505285674,1.784617293,3.659631012,3.079543007,0.230448921,6.8
Phragmites4,Phragmites,5.906874073,0.5132176,2.342422681,2.075546961,1.568201724,2.432969291,1.84509804,4.012879387,1.018700499,5.265056148,4.075583455,1.765668555,3.917032622,3.278982117,0.380211242,6.9
Phragmites5,Phragmites,5.930440105,0.501059262,2.451786436,1.040206628,1.447158031,2.432969291,1.612783857,3.792461731,0.850646235,4.945965622,3.724357804,1.641474111,3.825101412,3.079543007,0.431363764,7
Phragmites6,Phragmites,5.938520226,0.318063335,1.854306042,1.507855872,0.929418926,1.929418926,1.322219295,3.114277297,0.555094449,4.709278443,3.342620043,1.450249108,3.573799582,2.613841822,0.462397998,7.5
Phragmites7,Phragmites,5.932474272,0.63748973,2.276461804,2.307496038,1.230448921,2.117271296,1.602059991,3.544192111,0.773786445,4.785336955,3.602168551,1.579783597,3.678791434,2.949877704,0.397940009,6.6
Phragmites8,Phragmites,5.929419437,0.574031268,2.222716471,1.597695186,1.602059991,2.492760389,2.08278537,4.053116875,1.298853076,5.147679415,3.991270389,1.662757832,3.84260924,3.278982117,0.919078092,7
Phragmites9,Phragmites,5.93550777,0.334453751,1.802773725,1.318063335,0.740362689,1.740362689,1.278753601,3.079543007,0.305351369,4.580936374,3.176380692,1.419955748,3.504334912,2.557507202,0.477121255,7.1
