Site ID,Year,Species,Neighbours,Competition,Total
CAP1,2016,Carex,Phragmites,Yes,0.5585
CAP10,2016,Carex,Phragmites,Yes,1.3202
CAP6,2016,Carex,Phragmites,Yes,0.7659
CAP7,2016,Carex,Phragmites,Yes,0.61
CAP8,2016,Carex,Phragmites,Yes,0.5633
CAP1CU,2016,Carex,Phragmites,No,0.7726
CAP10CU,2016,Carex,Phragmites,No,1.6347
CAP6CU,2016,Carex,Phragmites,No,1.4016
CAP7CU,2016,Carex,Phragmites,No,2.4323
CAP8CU,2016,Carex,Phragmites,No,0.664
CCP1,2016,Calamagrostis,Phragmites,Yes,1.6731
CCP10,2016,Calamagrostis,Phragmites,Yes,0.6519
CCP11,2016,Calamagrostis,Phragmites,Yes,0.6903
CCP2,2016,Calamagrostis,Phragmites,Yes,2.8367
CCP4,2016,Calamagrostis,Phragmites,Yes,2.8594
CCP5,2016,Calamagrostis,Phragmites,Yes,2.4679
CCP6,2016,Calamagrostis,Phragmites,Yes,1.3767
CCP7,2016,Calamagrostis,Phragmites,Yes,1.9271
CCP9,2016,Calamagrostis,Phragmites,Yes,2.0798
CCP8,2016,Calamagrostis,Phragmites,Yes,0.7223
CCP1CU,2016,Calamagrostis,Phragmites,No,4.0742
CCP10CU,2016,Calamagrostis,Phragmites,No,3.9192
CCP11CU,2016,Calamagrostis,Phragmites,No,0.755
CCP2CU,2016,Calamagrostis,Phragmites,No,0.5326
CCP4CU,2016,Calamagrostis,Phragmites,No,2.5707
CCP5CU,2016,Calamagrostis,Phragmites,No,1.0488
CCP6CU,2016,Calamagrostis,Phragmites,No,12.6638
CCP7CU,2016,Calamagrostis,Phragmites,No,1.7284
CCP9CU,2016,Calamagrostis,Phragmites,No,2.3251
CCP8CU,2016,Calamagrostis,Phragmites,No,0.0637
TYP1,2016,Typha,Phragmites,Yes,29.837
TYP2,2016,Typha,Phragmites,Yes,48.3355
TYP3,2016,Typha,Phragmites,Yes,9.8988
TYP4,2016,Typha,Phragmites,Yes,30.6932
TYP5,2016,Typha,Phragmites,Yes,45.3542
TYP6,2016,Typha,Phragmites,Yes,33.2376
TYP1CU,2016,Typha,Phragmites,No,37.417
TYP2CU,2016,Typha,Phragmites,No,32.5998
TYP3CU,2016,Typha,Phragmites,No,28.8682
TYP4CU,2016,Typha,Phragmites,No,48.4636
TYP5CU,2016,Typha,Phragmites,No,48.647
TYP6CU,2016,Typha,Phragmites,No,48.7645
PCA1,2016,Phragmites,Carex,Yes,9.6555
PCA2,2016,Phragmites,Carex,Yes,37.2449
PCA3,2016,Phragmites,Carex,Yes,10.458
PCA4,2016,Phragmites,Carex,Yes,11.993
PCA6,2016,Phragmites,Carex,Yes,18.9486
PCA1CU,2016,Phragmites,Carex,No,22.4054
PCA2CU,2016,Phragmites,Carex,No,7.2052
PCA3CU,2016,Phragmites,Carex,No,25.7668
PCA4CU,2016,Phragmites,Carex,No,23.5455
PCA6CU,2016,Phragmites,Carex,No,10.1952
PCC1,2016,Phragmites,Calamagrostis,Yes,20.9158
PCC2,2016,Phragmites,Calamagrostis,Yes,13.2696
PCC3,2016,Phragmites,Calamagrostis,Yes,17.3263
PCC4,2016,Phragmites,Calamagrostis,Yes,40.7432
PCC5,2016,Phragmites,Calamagrostis,Yes,25.0795
PCC6,2016,Phragmites,Calamagrostis,Yes,26.5621
PCC1CU,2016,Phragmites,Calamagrostis,No,35.9741
PCC2CU,2016,Phragmites,Calamagrostis,No,9.4677
PCC3CU,2016,Phragmites,Calamagrostis,No,23.1004
PCC4CU,2016,Phragmites,Calamagrostis,No,32.3969
PCC5CU,2016,Phragmites,Calamagrostis,No,34.3351
PCC6CU,2016,Phragmites,Calamagrostis,No,13.1802
PTY1,2016,Phragmites,Typha,Yes,21.0603
PTY3,2016,Phragmites,Typha,Yes,19.119
PTY4,2016,Phragmites,Typha,Yes,22.7167
PTY5,2016,Phragmites,Typha,Yes,31.1749
PTY6,2016,Phragmites,Typha,Yes,38.4657
PTY1CU,2016,Phragmites,Typha,No,22.6713
PTY3CU,2016,Phragmites,Typha,No,12.1041
PTY4CU,2016,Phragmites,Typha,No,37.8172
PTY5CU,2016,Phragmites,Typha,No,34.2178
PTY6CU,2016,Phragmites,Typha,No,30.7299
